Date,Load (kWh)
1/1/22 0:00,433
1/1/22 1:00,477
1/1/22 2:00,448
1/1/22 3:00,477
1/1/22 4:00,484
1/1/22 5:00,483
1/1/22 6:00,480
1/1/22 7:00,502
1/1/22 8:00,477
1/1/22 9:00,475
1/1/22 10:00,451
1/1/22 11:00,392
1/1/22 12:00,345
1/1/22 13:00,329
1/1/22 14:00,307
1/1/22 15:00,301
1/1/22 16:00,346
1/1/22 17:00,386
1/1/22 18:00,382
1/1/22 19:00,395
1/1/22 20:00,397
1/1/22 21:00,410
1/1/22 22:00,412
1/1/22 23:00,406
1/2/22 0:00,427
1/2/22 1:00,426
1/2/22 2:00,430
1/2/22 3:00,427
1/2/22 4:00,434
1/2/22 5:00,456
1/2/22 6:00,461
1/2/22 7:00,452
1/2/22 8:00,417
1/2/22 9:00,421
1/2/22 10:00,403
1/2/22 11:00,367
1/2/22 12:00,346
1/2/22 13:00,334
1/2/22 14:00,297
1/2/22 15:00,328
1/2/22 16:00,323
1/2/22 17:00,379
1/2/22 18:00,369
1/2/22 19:00,370
1/2/22 20:00,400
1/2/22 21:00,397
1/2/22 22:00,396
1/2/22 23:00,425
1/3/22 0:00,448
1/3/22 1:00,446
1/3/22 2:00,478
1/3/22 3:00,502
1/3/22 4:00,573
1/3/22 5:00,835
1/3/22 6:00,700
1/3/22 7:00,742
1/3/22 8:00,726
1/3/22 9:00,685
1/3/22 10:00,671
1/3/22 11:00,637
1/3/22 12:00,611
1/3/22 13:00,578
1/3/22 14:00,534
1/3/22 15:00,523
1/3/22 16:00,345
1/3/22 17:00,396
1/3/22 18:00,439
1/3/22 19:00,451
1/3/22 20:00,456
1/3/22 21:00,459
1/3/22 22:00,313
1/3/22 23:00,301
1/4/22 0:00,316
1/4/22 1:00,324
1/4/22 2:00,375
1/4/22 3:00,396
1/4/22 4:00,442
1/4/22 5:00,769
1/4/22 6:00,659
1/4/22 7:00,704
1/4/22 8:00,694
1/4/22 9:00,669
1/4/22 10:00,636
1/4/22 11:00,609
1/4/22 12:00,636
1/4/22 13:00,596
1/4/22 14:00,537
1/4/22 15:00,530
1/4/22 16:00,405
1/4/22 17:00,426
1/4/22 18:00,422
1/4/22 19:00,440
1/4/22 20:00,453
1/4/22 21:00,399
1/4/22 22:00,277
1/4/22 23:00,266
1/5/22 0:00,286
1/5/22 1:00,267
1/5/22 2:00,303
1/5/22 3:00,357
1/5/22 4:00,417
1/5/22 5:00,673
1/5/22 6:00,665
1/5/22 7:00,683
1/5/22 8:00,691
1/5/22 9:00,625
1/5/22 10:00,632
1/5/22 11:00,605
1/5/22 12:00,551
1/5/22 13:00,525
1/5/22 14:00,500
1/5/22 15:00,481
1/5/22 16:00,377
1/5/22 17:00,385
1/5/22 18:00,435
1/5/22 19:00,451
1/5/22 20:00,447
1/5/22 21:00,409
1/5/22 22:00,294
1/5/22 23:00,300
1/6/22 0:00,271
1/6/22 1:00,297
1/6/22 2:00,319
1/6/22 3:00,337
1/6/22 4:00,400
1/6/22 5:00,642
1/6/22 6:00,658
1/6/22 7:00,641
1/6/22 8:00,647
1/6/22 9:00,599
1/6/22 10:00,588
1/6/22 11:00,554
1/6/22 12:00,522
1/6/22 13:00,500
1/6/22 14:00,425
1/6/22 15:00,428
1/6/22 16:00,255
1/6/22 17:00,362
1/6/22 18:00,356
1/6/22 19:00,384
1/6/22 20:00,410
1/6/22 21:00,394
1/6/22 22:00,282
1/6/22 23:00,282
1/7/22 0:00,271
1/7/22 1:00,302
1/7/22 2:00,333
1/7/22 3:00,395
1/7/22 4:00,424
1/7/22 5:00,714
1/7/22 6:00,709
1/7/22 7:00,724
1/7/22 8:00,724
1/7/22 9:00,650
1/7/22 10:00,618
1/7/22 11:00,581
1/7/22 12:00,583
1/7/22 13:00,541
1/7/22 14:00,486
1/7/22 15:00,480
1/7/22 16:00,269
1/7/22 17:00,262
1/7/22 18:00,300
1/7/22 19:00,317
1/7/22 20:00,371
1/7/22 21:00,409
1/7/22 22:00,345
1/7/22 23:00,330
1/8/22 0:00,433
1/8/22 1:00,477
1/8/22 2:00,448
1/8/22 3:00,477
