Date,Solar (kWh)
1/1/22 0:00,0
1/1/22 3:00,0
1/1/22 4:00,0
1/1/22 5:00,0
1/1/22 6:00,0
1/1/22 7:00,0
1/1/22 8:00,0
1/1/22 9:00,0.6
1/1/22 10:00,14.35
1/1/22 11:00,61
1/1/22 12:00,63.25
1/1/22 13:00,31.3
1/1/22 14:00,4.7
1/1/22 15:00,0
1/1/22 16:00,0
1/1/22 17:00,0
1/1/22 18:00,0
1/1/22 19:00,0
1/1/22 20:00,0
1/1/22 21:00,0
1/1/22 22:00,0
1/1/22 23:00,0
1/2/22 0:00,0
1/2/22 1:00,0
1/2/22 2:00,0
1/2/22 3:00,0
1/2/22 4:00,0
1/2/22 5:00,0
1/2/22 6:00,0
1/2/22 7:00,0
1/2/22 8:00,0
1/2/22 9:00,0
1/2/22 10:00,0
1/2/22 11:00,0
1/2/22 12:00,49.4
1/2/22 13:00,71.95
1/2/22 14:00,151.55
1/2/22 15:00,142.15
1/2/22 16:00,6.6
1/2/22 17:00,0
1/2/22 18:00,0
1/2/22 19:00,0
1/2/22 20:00,0
1/2/22 21:00,0
1/2/22 22:00,0
1/2/22 23:00,0
1/3/22 0:00,0
1/3/22 1:00,0
1/3/22 2:00,0
1/3/22 3:00,0
1/3/22 4:00,0
1/3/22 5:00,0
1/3/22 6:00,0
1/3/22 7:00,0
1/3/22 8:00,12.9
1/3/22 9:00,273.7
1/3/22 10:00,469.75
1/3/22 11:00,224.9
1/3/22 12:00,2259.35
1/3/22 13:00,1768.4
1/3/22 14:00,553.9
1/3/22 15:00,191.3
1/3/22 16:00,0
1/3/22 17:00,0
1/3/22 18:00,0
1/3/22 19:00,0
1/3/22 20:00,0
1/3/22 21:00,0
1/3/22 22:00,0
1/3/22 23:00,0
1/4/22 0:00,0
1/4/22 1:00,0
1/4/22 2:00,0
1/4/22 3:00,0
1/4/22 4:00,0
1/4/22 5:00,0
1/4/22 6:00,0
1/4/22 7:00,0
1/4/22 8:00,84.25
1/4/22 9:00,600.35
1/4/22 10:00,1589.2
1/4/22 11:00,1144.3
1/4/22 12:00,835.3
1/4/22 13:00,747.95
1/4/22 14:00,548.7
1/4/22 15:00,139.4
1/4/22 16:00,3.85
1/4/22 17:00,0
1/4/22 18:00,0
1/4/22 19:00,0
1/4/22 20:00,0
1/4/22 21:00,0
1/4/22 22:00,0
1/4/22 23:00,0
1/5/22 0:00,0
1/5/22 1:00,0
1/5/22 2:00,0
1/5/22 3:00,0
1/5/22 4:00,0
1/5/22 5:00,0
1/5/22 6:00,0
1/5/22 7:00,0
1/5/22 8:00,57.65
1/5/22 9:00,201.6
1/5/22 10:00,523.75
1/5/22 11:00,483.6
1/5/22 12:00,310.65
1/5/22 13:00,392
1/5/22 14:00,284.65
1/5/22 15:00,137.5
1/5/22 16:00,5.2
1/5/22 17:00,0
1/5/22 18:00,0
1/5/22 19:00,0
1/5/22 20:00,0
1/5/22 21:00,0
1/5/22 22:00,0
1/5/22 23:00,0
1/6/22 0:00,0
1/6/22 1:00,0
1/6/22 2:00,0
1/6/22 3:00,0
1/6/22 4:00,0
1/6/22 5:00,0
1/6/22 6:00,0
1/6/22 7:00,0
1/6/22 8:00,4.5
1/6/22 9:00,64.55
1/6/22 10:00,169.9
1/6/22 11:00,197.8
1/6/22 12:00,278.75
1/6/22 13:00,276.4
1/6/22 14:00,257.8
1/6/22 15:00,96.65
1/6/22 16:00,0.7
1/6/22 17:00,0
1/6/22 18:00,0
1/6/22 19:00,0
1/6/22 20:00,0
1/6/22 21:00,0
1/6/22 22:00,0
1/6/22 23:00,0
1/7/22 0:00,0
1/7/22 1:00,0
1/7/22 2:00,0
1/7/22 3:00,0
1/7/22 4:00,0
1/7/22 5:00,0
1/7/22 6:00,0
1/7/22 7:00,0
1/7/22 8:00,34.9
1/7/22 9:00,337.45
1/7/22 10:00,846.9
1/7/22 11:00,508.2
1/7/22 12:00,2634.75
1/7/22 13:00,2362.65
1/7/22 14:00,1334.75
1/7/22 15:00,571.65
1/7/22 16:00,55.25
1/7/22 17:00,0
1/7/22 18:00,0
1/7/22 19:00,0
1/7/22 20:00,0
1/7/22 21:00,0
1/7/22 22:00,0
1/7/22 23:00,0
1/8/22 0:00,0
1/8/22 1:00,0
1/8/22 2:00,0
1/8/22 3:00,0
1/8/22 4:00,0
1/8/22 5:00,0
1/8/22 6:00,0
1/8/22 7:00,0
1/8/22 8:00,127.2
1/8/22 9:00,478.75
1/8/22 10:00,1184.95
1/8/22 11:00,1489.05
1/8/22 12:00,2048.25
1/8/22 13:00,1276.25
1/8/22 14:00,699.7
1/8/22 15:00,290.2
1/8/22 16:00,19.35
1/8/22 17:00,0
1/8/22 18:00,0
1/8/22 19:00,0
1/8/22 20:00,0
1/8/22 21:00,0
1/8/22 22:00,0
1/8/22 23:00,0
1/9/22 0:00,0
1/9/22 1:00,0
1/9/22 2:00,0
1/9/22 3:00,0
1/9/22 4:00,0
1/9/22 5:00,0
1/9/22 6:00,0
1/9/22 7:00,0
1/9/22 8:00,311.9
1/9/22 9:00,1250.7
1/9/22 10:00,3378.8
1/9/22 11:00,3643.25
1/9/22 12:00,3589.85
1/9/22 13:00,3356
1/9/22 14:00,2538
1/9/22 15:00,907.45
1/9/22 16:00,181.25
1/9/22 17:00,0
1/9/22 18:00,0
1/9/22 19:00,0
1/9/22 20:00,0
1/9/22 21:00,0
1/9/22 22:00,0
1/9/22 23:00,0
1/10/22 0:00,0
1/10/22 1:00,0
1/10/22 2:00,0
1/10/22 3:00,0
1/10/22 4:00,0
1/10/22 5:00,0
1/10/22 6:00,0
1/10/22 7:00,0
1/10/22 8:00,1.9
1/10/22 9:00,119.1
1/10/22 10:00,542.7
1/10/22 11:00,871.95
1/10/22 12:00,1457.25
1/10/22 13:00,923.95
1/10/22 14:00,472.25
1/10/22 15:00,205.05
1/10/22 16:00,35.55
1/10/22 17:00,0
1/10/22 18:00,0
1/10/22 19:00,0
1/10/22 20:00,0
1/10/22 21:00,0
1/10/22 22:00,0
1/10/22 23:00,0
1/11/22 0:00,0
1/11/22 1:00,0
1/11/22 2:00,0
1/11/22 3:00,0
1/11/22 4:00,0
1/11/22 5:00,0
1/11/22 6:00,0
1/11/22 7:00,0
1/11/22 8:00,11.2
1/11/22 9:00,91.15
1/11/22 10:00,326.45
1/11/22 11:00,588.35
1/11/22 12:00,715.4
1/11/22 13:00,226.35
1/11/22 14:00,110.7
1/11/22 15:00,55.05
1/11/22 16:00,5.6
1/11/22 17:00,0
1/11/22 18:00,0
1/11/22 19:00,0
1/11/22 20:00,0
1/11/22 21:00,0
1/11/22 22:00,0
1/11/22 23:00,0
1/12/22 0:00,0
1/12/22 1:00,0
1/12/22 2:00,0
1/12/22 3:00,0
1/12/22 4:00,0
1/12/22 5:00,0
1/12/22 6:00,0
1/12/22 7:00,0
1/12/22 8:00,14.9
1/12/22 9:00,180.95
1/12/22 10:00,423.6
1/12/22 11:00,1188.8
1/12/22 12:00,2199.25
1/12/22 13:00,1194.45
1/12/22 14:00,1092.7
1/12/22 15:00,533.85
1/12/22 16:00,90.3
1/12/22 17:00,0
1/12/22 18:00,0
1/12/22 19:00,0
1/12/22 20:00,0
1/12/22 21:00,0
1/12/22 22:00,0
1/12/22 23:00,0
1/13/22 0:00,0
1/13/22 1:00,0
1/13/22 2:00,0
1/13/22 3:00,0
1/13/22 4:00,0
1/13/22 5:00,0
1/13/22 6:00,0
1/13/22 7:00,0
1/13/22 8:00,19.15
1/13/22 9:00,194.1
1/13/22 10:00,1554.85
1/13/22 11:00,2963.35
1/13/22 12:00,3263.5
1/13/22 13:00,1193.35
1/13/22 14:00,590.95
1/13/22 15:00,1018.3
1/13/22 16:00,305.45
1/13/22 17:00,0
1/13/22 18:00,0
1/13/22 19:00,0
1/13/22 20:00,0
1/13/22 21:00,0
1/13/22 22:00,0
1/13/22 23:00,0
1/14/22 0:00,0
1/14/22 1:00,0
1/14/22 2:00,0
1/14/22 3:00,0
1/14/22 4:00,0
1/14/22 5:00,0
1/14/22 6:00,0
1/14/22 7:00,0
1/14/22 8:00,272.55
1/14/22 9:00,482.8
1/14/22 10:00,772.25
1/14/22 11:00,869.95
1/14/22 12:00,2558.05
1/14/22 13:00,2687.95
1/14/22 14:00,2935.45
1/14/22 15:00,827.95
1/14/22 16:00,122.4
1/14/22 17:00,0
1/14/22 18:00,0
1/14/22 19:00,0
1/14/22 20:00,0
1/14/22 21:00,0
1/14/22 22:00,0
1/14/22 23:00,0
1/15/22 0:00,0
1/15/22 1:00,0
1/15/22 2:00,0
1/15/22 3:00,0
1/15/22 4:00,0
1/15/22 5:00,0
1/15/22 6:00,0
1/15/22 7:00,0
1/15/22 8:00,59.8
1/15/22 9:00,372.1
1/15/22 10:00,920.65
1/15/22 11:00,1996.3
1/15/22 12:00,2735.7
1/15/22 13:00,3086.75
1/15/22 14:00,2242.4
1/15/22 15:00,810.9
1/15/22 16:00,41.05
1/15/22 17:00,0
1/15/22 18:00,0
1/15/22 19:00,0
1/15/22 20:00,0
1/15/22 21:00,0
1/15/22 22:00,0
1/15/22 23:00,0
1/16/22 0:00,0
1/16/22 1:00,0
1/16/22 2:00,0
1/16/22 3:00,0
1/16/22 4:00,0
1/16/22 5:00,0
1/16/22 6:00,0
1/16/22 7:00,0
1/16/22 8:00,57.3
1/16/22 9:00,361.8
1/16/22 10:00,325
1/16/22 11:00,552.6
1/16/22 12:00,500.1
1/16/22 13:00,550.05
1/16/22 14:00,308.7
1/16/22 15:00,116.6
1/16/22 16:00,28.95
1/16/22 17:00,0
1/16/22 18:00,0
1/16/22 19:00,0
1/16/22 20:00,0
1/16/22 21:00,0
1/16/22 22:00,0
1/16/22 23:00,0
1/17/22 0:00,0
1/17/22 1:00,0
1/17/22 2:00,0
1/17/22 3:00,0
1/17/22 4:00,0
1/17/22 5:00,0
1/17/22 6:00,0
1/17/22 7:00,0
1/17/22 8:00,81.45
1/17/22 9:00,417.3
1/17/22 10:00,1380.3
1/17/22 11:00,1637.4
1/17/22 12:00,2807.25
1/17/22 13:00,2445.95
1/17/22 14:00,1303.5
1/17/22 15:00,720.95
1/17/22 16:00,191.05
1/17/22 17:00,0
1/17/22 18:00,0
1/17/22 19:00,0
1/17/22 20:00,0
1/17/22 21:00,0
1/17/22 22:00,0
1/17/22 23:00,0
1/18/22 0:00,0
1/18/22 1:00,0
1/18/22 2:00,0
1/18/22 3:00,0
1/18/22 4:00,0
1/18/22 5:00,0
1/18/22 6:00,0
1/18/22 7:00,0
1/18/22 8:00,171.7
1/18/22 9:00,558.15
1/18/22 10:00,978.1
1/18/22 11:00,875.05
1/18/22 12:00,1123.85
1/18/22 13:00,1114.5
1/18/22 14:00,552.8
1/18/22 15:00,637.55
1/18/22 16:00,87.95
1/18/22 17:00,0
1/18/22 18:00,0
1/18/22 19:00,0
1/18/22 20:00,0
1/18/22 21:00,0
1/18/22 22:00,0
1/18/22 23:00,0
1/19/22 0:00,0
1/19/22 1:00,0
1/19/22 2:00,0
1/19/22 3:00,0
1/19/22 4:00,0
1/19/22 5:00,0
1/19/22 6:00,0
1/19/22 7:00,0
1/19/22 8:00,97.3
1/19/22 9:00,324.85
1/19/22 10:00,583.8
1/19/22 11:00,982.3
1/19/22 12:00,1148.1
1/19/22 13:00,1385.45
1/19/22 14:00,908.5
1/19/22 15:00,363.15
1/19/22 16:00,81.85
1/19/22 17:00,0
1/19/22 18:00,0
1/19/22 19:00,0
1/19/22 20:00,0
1/19/22 21:00,0
1/19/22 22:00,0
1/19/22 23:00,0
1/20/22 0:00,0
1/20/22 1:00,0
1/20/22 2:00,0
1/20/22 3:00,0
1/20/22 4:00,0
1/20/22 5:00,0
1/20/22 6:00,0
1/20/22 7:00,0
1/20/22 8:00,34.75
1/20/22 9:00,345.85
1/20/22 10:00,928.5
1/20/22 11:00,2335.5
1/20/22 12:00,2576.9
1/20/22 13:00,3086.8
1/20/22 14:00,1769.4
1/20/22 15:00,776.8
1/20/22 16:00,95.35
1/20/22 17:00,0
1/20/22 18:00,0
1/20/22 19:00,0
1/20/22 20:00,0
1/20/22 21:00,0
1/20/22 22:00,0
1/20/22 23:00,0
1/21/22 0:00,0
1/21/22 1:00,0
1/21/22 2:00,0
1/21/22 3:00,0
1/21/22 4:00,0
1/21/22 5:00,0
1/21/22 6:00,0
1/21/22 7:00,0.05
1/21/22 8:00,100.15
1/21/22 9:00,439.7
1/21/22 10:00,453.55
1/21/22 11:00,1158.45
1/21/22 12:00,558.25
1/21/22 13:00,751.8
1/21/22 14:00,772.35
1/21/22 15:00,365.85
1/21/22 16:00,101
1/21/22 17:00,0
1/21/22 18:00,0
1/21/22 19:00,0
1/21/22 20:00,0
1/21/22 21:00,0
1/21/22 22:00,0
1/21/22 23:00,0
1/22/22 0:00,0
1/22/22 1:00,0
1/22/22 2:00,0
1/22/22 3:00,0
1/22/22 4:00,0
1/22/22 5:00,0
1/22/22 6:00,0
1/22/22 7:00,0
1/22/22 8:00,86.25
1/22/22 9:00,330.05
1/22/22 10:00,567.9
1/22/22 11:00,523.45
1/22/22 12:00,698.3
1/22/22 13:00,1152.6
1/22/22 14:00,1078.55
1/22/22 15:00,1227
1/22/22 16:00,90.65
1/22/22 17:00,0
1/22/22 18:00,0
1/22/22 19:00,0
1/22/22 20:00,0
1/22/22 21:00,0
1/22/22 22:00,0
1/22/22 23:00,0
1/23/22 0:00,0
1/23/22 1:00,0
1/23/22 2:00,0
1/23/22 3:00,0
1/23/22 4:00,0
1/23/22 5:00,0
1/23/22 6:00,0
1/23/22 7:00,0
1/23/22 8:00,35.4
1/23/22 9:00,269.75
1/23/22 10:00,603.85
1/23/22 11:00,828.2
1/23/22 12:00,796.2
1/23/22 13:00,804.7
1/23/22 14:00,523.2
1/23/22 15:00,214.35
1/23/22 16:00,32.25
1/23/22 17:00,0
1/23/22 18:00,0
1/23/22 19:00,0
1/23/22 20:00,0
1/23/22 21:00,0
1/23/22 22:00,0
1/23/22 23:00,0
1/24/22 0:00,0
1/24/22 1:00,0
1/24/22 2:00,0
1/24/22 3:00,0
1/24/22 4:00,0
1/24/22 5:00,0
1/24/22 6:00,0
1/24/22 7:00,0
1/24/22 8:00,62.85
1/24/22 9:00,341.8
1/24/22 10:00,572.5
1/24/22 11:00,741.7
1/24/22 12:00,716.1
1/24/22 13:00,610.55
1/24/22 14:00,405.1
1/24/22 15:00,152.75
1/24/22 16:00,20.35
1/24/22 17:00,0
1/24/22 18:00,0
1/24/22 19:00,0
1/24/22 20:00,0
1/24/22 21:00,0
1/24/22 22:00,0
1/24/22 23:00,0
1/25/22 0:00,0
1/25/22 1:00,0
1/25/22 2:00,0
1/25/22 3:00,0
1/25/22 4:00,0
1/25/22 5:00,0
1/25/22 6:00,0
1/25/22 7:00,0
1/25/22 8:00,43.85
1/25/22 9:00,285.45
1/25/22 10:00,538.5
1/25/22 11:00,735.8
1/25/22 12:00,964.25
1/25/22 13:00,1150.6
1/25/22 14:00,1568.3
1/25/22 15:00,1784
1/25/22 16:00,412.6
1/25/22 17:00,5.1
1/25/22 18:00,0
1/25/22 19:00,0
1/25/22 20:00,0
1/25/22 21:00,0
1/25/22 22:00,0
1/25/22 23:00,0
1/26/22 0:00,0
1/26/22 1:00,0
1/26/22 2:00,0
1/26/22 3:00,0
1/26/22 4:00,0
1/26/22 5:00,0
1/26/22 6:00,0
1/26/22 7:00,0
1/26/22 8:00,75
1/26/22 9:00,278.35
1/26/22 10:00,577
1/26/22 11:00,593.6
1/26/22 12:00,692.7
1/26/22 13:00,704.1
1/26/22 14:00,598.3
1/26/22 15:00,499.4
1/26/22 16:00,417.2
1/26/22 17:00,2.05
1/26/22 18:00,0
1/26/22 19:00,0
1/26/22 20:00,0
1/26/22 21:00,0
1/26/22 22:00,0
1/26/22 23:00,0
1/27/22 0:00,0
1/27/22 1:00,0
1/27/22 2:00,0
1/27/22 3:00,0
1/27/22 4:00,0
1/27/22 5:00,0
1/27/22 6:00,0
1/27/22 7:00,0
1/27/22 8:00,114.85
1/27/22 9:00,450.35
1/27/22 10:00,894.4
1/27/22 11:00,1254.15
1/27/22 12:00,2777.3
1/27/22 13:00,3729.8
1/27/22 14:00,3157.4
1/27/22 15:00,2248.35
1/27/22 16:00,476.05
1/27/22 17:00,3.85
1/27/22 18:00,0
1/27/22 19:00,0
1/27/22 20:00,0
1/27/22 21:00,0
1/27/22 22:00,0
1/27/22 23:00,0
1/28/22 0:00,0
1/28/22 1:00,0
1/28/22 2:00,0
1/28/22 3:00,0
1/28/22 4:00,0
1/28/22 5:00,0
1/28/22 6:00,0
1/28/22 7:00,5.35
1/28/22 8:00,377.35
1/28/22 9:00,2088.95
1/28/22 10:00,3462.6
1/28/22 11:00,3514.15
1/28/22 12:00,3604.05
1/28/22 13:00,3422.55
1/28/22 14:00,3251.2
1/28/22 15:00,2250.6
1/28/22 16:00,623.5
1/28/22 17:00,7.65
1/28/22 18:00,0
1/28/22 19:00,0
1/28/22 20:00,0
1/28/22 21:00,0
1/28/22 22:00,0
1/28/22 23:00,0
1/29/22 0:00,0
1/29/22 1:00,0
1/29/22 2:00,0
1/29/22 3:00,0
1/29/22 4:00,0
1/29/22 5:00,0
1/29/22 6:00,0
1/29/22 7:00,5.35
1/29/22 8:00,377.35
1/29/22 9:00,2088.95
1/29/22 10:00,3462.6
1/29/22 11:00,3514.15
1/29/22 12:00,3604.05
1/29/22 13:00,3422.55
1/29/22 14:00,3251.2
1/29/22 15:00,2250.6
1/29/22 16:00,623.5
1/29/22 17:00,7.65
1/29/22 18:00,0
1/29/22 19:00,0
1/29/22 20:00,0
1/29/22 21:00,0
1/29/22 22:00,0
1/29/22 23:00,0
1/30/22 0:00,0
1/30/22 1:00,0
1/30/22 2:00,0
1/30/22 3:00,0
1/30/22 4:00,0
1/30/22 5:00,0
1/30/22 6:00,0
1/30/22 7:00,9.15
1/30/22 8:00,589.6
1/30/22 9:00,1956.3
1/30/22 10:00,2595.7
1/30/22 11:00,3635
1/30/22 12:00,3476.15
1/30/22 13:00,3122.35
1/30/22 14:00,2010.85
1/30/22 15:00,1084.1
1/30/22 16:00,193.15
1/30/22 17:00,0
1/30/22 18:00,0
1/30/22 19:00,0
1/30/22 20:00,0
1/30/22 21:00,0
1/30/22 22:00,0
1/30/22 23:00,0
1/31/22 0:00,0
1/31/22 1:00,0
1/31/22 2:00,0
1/31/22 3:00,0
1/31/22 4:00,0
1/31/22 5:00,0
1/31/22 6:00,0
1/31/22 7:00,0
1/31/22 8:00,123.25
1/31/22 9:00,263.1
1/31/22 10:00,535.75
1/31/22 11:00,996.65
1/31/22 12:00,719.7
1/31/22 13:00,389.2
1/31/22 14:00,223.3
1/31/22 15:00,62.6
1/31/22 16:00,4.75
1/31/22 17:00,0
1/31/22 18:00,0
1/31/22 19:00,0
1/31/22 20:00,0
1/31/22 21:00,0
1/31/22 22:00,0
1/31/22 23:00,0
2/1/22 0:00,0
2/1/22 1:00,0
2/1/22 2:00,0
2/1/22 3:00,0
2/1/22 4:00,0
2/1/22 5:00,0
2/1/22 6:00,0
2/1/22 7:00,1.6
2/1/22 8:00,396.2
2/1/22 9:00,1555.15
2/1/22 10:00,1432.75
2/1/22 11:00,2332.85
2/1/22 12:00,3369
2/1/22 13:00,3163.2
2/1/22 14:00,2652.2
2/1/22 15:00,1433.15
2/1/22 16:00,348.85
2/1/22 17:00,11.8
2/1/22 18:00,0
2/1/22 19:00,0
2/1/22 20:00,0
2/1/22 21:00,0
2/1/22 22:00,0
2/1/22 23:00,0
2/2/22 0:00,0
2/2/22 1:00,0
2/2/22 2:00,0
2/2/22 3:00,0
2/2/22 4:00,0
2/2/22 5:00,0
2/2/22 6:00,0
2/2/22 7:00,0.4
2/2/22 8:00,184.5
2/2/22 9:00,451.45
2/2/22 10:00,635.4
2/2/22 11:00,1690.6
2/2/22 12:00,2962.65
2/2/22 13:00,2591
2/2/22 14:00,2540.6
2/2/22 15:00,939.15
2/2/22 16:00,149.35
2/2/22 17:00,7.9
2/2/22 18:00,0
2/2/22 19:00,0
2/2/22 20:00,0
2/2/22 21:00,0
2/2/22 22:00,0
2/2/22 23:00,0
2/3/22 0:00,0
2/3/22 1:00,0
2/3/22 2:00,0
2/3/22 3:00,0
2/3/22 4:00,0
2/3/22 5:00,0
2/3/22 6:00,0
2/3/22 7:00,0
2/3/22 8:00,85.45
2/3/22 9:00,314.2
2/3/22 10:00,336.25
2/3/22 11:00,901.9
2/3/22 12:00,1048.2
2/3/22 13:00,865.6
2/3/22 14:00,578.05
2/3/22 15:00,263.7
2/3/22 16:00,57.65
2/3/22 17:00,0
2/3/22 18:00,0
2/3/22 19:00,0
2/3/22 20:00,0
2/3/22 21:00,0
2/3/22 22:00,0
2/3/22 23:00,0
2/4/22 0:00,0
2/4/22 1:00,0
2/4/22 2:00,0
2/4/22 3:00,0
2/4/22 4:00,0
2/4/22 5:00,0
2/4/22 6:00,0
2/4/22 7:00,0
2/4/22 8:00,227.35
2/4/22 9:00,501.45
2/4/22 10:00,742.85
2/4/22 11:00,1167.6
2/4/22 12:00,1569.15
2/4/22 13:00,1296.9
2/4/22 14:00,1932.5
2/4/22 15:00,1293.3
2/4/22 16:00,177.4
2/4/22 17:00,1.55
2/4/22 18:00,0
2/4/22 19:00,0
2/4/22 20:00,0
2/4/22 21:00,0
2/4/22 22:00,0
2/4/22 23:00,0
2/5/22 0:00,0
2/5/22 1:00,0
2/5/22 2:00,0
2/5/22 3:00,0
2/5/22 4:00,0
2/5/22 5:00,0
2/5/22 6:00,0
2/5/22 7:00,0
2/5/22 8:00,38.7
2/5/22 9:00,285.8
2/5/22 10:00,570.2
2/5/22 11:00,2282.95
2/5/22 12:00,1170.25
2/5/22 13:00,666.65
2/5/22 14:00,450.65
2/5/22 15:00,324.05
2/5/22 16:00,124.75
2/5/22 17:00,0.05
2/5/22 18:00,0
2/5/22 19:00,0
2/5/22 20:00,0
2/5/22 21:00,0
